Index,Time,HIGH,LOW,LAST,FIRST
396,00:00.0,0.90698,0.90623,0.90657,0.90658
397,00:00.0,0.90848,0.90532,0.90677,0.90655
398,00:00.0,0.90681,0.90536,0.90613,0.90676
399,00:00.0,0.9061,0.90442,0.90489,0.90609
400,00:00.0,0.90493,0.90175,0.90276,0.90488
401,00:00.0,0.90323,0.90197,0.90296,0.90277
402,00:00.0,0.90373,0.90222,0.90357,0.90297
403,00:00.0,0.90846,0.898,0.90066,0.90332
404,00:00.0,0.90187,0.89511,0.89725,0.90067
405,00:00.0,0.89725,0.89592,0.89614,0.89723
406,00:00.0,0.89665,0.89522,0.89574,0.8961
407,00:00.0,0.89617,0.894,0.89434,0.89578
408,00:00.0,0.89606,0.89433,0.89594,0.89436
409,00:00.0,0.89685,0.8955,0.89634,
410,00:00.0,0.8968,0.89576,0.89668,0.89635
411,00:00.0,0.89762,0.89627,0.89722,0.89667
412,00:00.0,0.89749,0.8963,0.89647,0.89723
413,00:00.0,0.89661,0.89583,0.896,0.89646
414,00:00.0,0.8969,0.89555,0.89689,0.89598
415,00:00.0,0.89764,0.89573,0.89584,0.8969
416,00:00.0,0.89646,0.8941,0.89618,0.89585
417,00:00.0,0.89784,0.8958,0.89716,0.89619
418,00:00.0,0.89742,0.89613,0.89686,0.89714
419,00:00.0,0.89744,0.89662,0.89726,0.89688
420,00:00.0,0.89783,0.89546,0.89555,0.89725
421,00:00.0,0.8966,0.89281,0.89623,0.89556
422,00:00.0,0.89715,0.89535,0.89635,0.8962
423,00:00.0,0.89979,0.89585,0.89851,0.89631
424,00:00.0,0.89918,0.89756,0.8983,0.89853
425,00:00.0,0.89902,0.89781,0.8986,0.89832
426,00:00.0,0.89868,0.89773,0.89811,0.89861
427,00:00.0,0.89841,0.89757,0.8979,0.89809
428,00:00.0,0.8986,0.89783,0.89853,0.89789
429,00:00.0,0.89959,0.89818,0.89929,0.89854
430,00:00.0,0.89921,0.89899,0.89899,
431,00:00.0,0.89924,0.89831,0.89862,0.89893
432,00:00.0,0.89862,0.89792,0.89832,0.89861
433,00:00.0,0.89863,0.89764,0.89863,
434,00:00.0,0.8989,0.89376,0.8961,0.89864
435,00:00.0,0.89654,0.89434,0.89522,0.89613
436,00:00.0,0.89602,0.89462,0.89531,0.89523
437,00:00.0,0.89672,0.89532,0.89592,0.89533
438,00:00.0,0.89714,0.89551,0.89679,0.89593
439,00:00.0,0.89731,0.89513,0.89562,0.89678
440,00:00.0,0.89626,0.89507,0.89552,0.89563
441,00:00.0,0.89553,0.89309,0.895,0.89551
442,00:00.0,0.8959,0.89448,0.89577,0.89501
443,00:00.0,0.89707,0.89553,0.89632,0.89576
444,00:00.0,0.89788,0.89621,0.89765,0.8963
445,00:00.0,0.89958,0.89695,0.89872,0.89764
446,00:00.0,0.89926,0.89626,0.89655,0.89873
447,00:00.0,0.89703,0.8938,0.89427,0.89654
448,00:00.0,0.89475,0.89311,0.89351,0.89424
449,00:00.0,0.8938,0.89218,0.89313,0.8935
450,00:00.0,0.89373,0.89281,0.89328,0.89314
451,00:00.0,0.89357,0.8931,0.89347,0.89329
452,00:00.0,0.89402,0.89296,0.89296,0.89346
453,00:00.0,0.89343,0.89244,0.89319,0.89295
454,00:00.0,,,,
455,00:00.0,,,,
456,00:00.0,,,,
457,00:00.0,,,,
458,00:00.0,,,,
459,00:00.0,,,,
460,00:00.0,,,,
461,00:00.0,,,,
462,00:00.0,,,,
463,00:00.0,,,,
464,00:00.0,,,,
465,00:00.0,,,,
466,00:00.0,,,,
467,00:00.0,,,,
468,00:00.0,,,,
469,00:00.0,,,,
470,00:00.0,,,,
471,00:00.0,,,,
472,00:00.0,,,,
473,00:00.0,,,,
474,00:00.0,,,,
475,00:00.0,,,,
476,00:00.0,,,,
477,00:00.0,,,,
478,00:00.0,,,,
479,00:00.0,,,,
480,00:00.0,,,,
481,00:00.0,,,,
482,00:00.0,,,,
483,00:00.0,,,,
484,00:00.0,,,,
485,00:00.0,,,,
486,00:00.0,,,,
487,00:00.0,,,,
488,00:00.0,,,,
489,00:00.0,,,,
490,00:00.0,,,,
